Name,Longitude location of institution,Latitude location of institution,search_url,image,url
Northern Arizona University,-111.657653,35.180095,http://api.duckduckgo.com/?q=Northern+Arizona+University%20wikipedia&format=json,https://duckduckgo.com/i/97b06cef.png,http://nau.edu/
Ottawa University-Phoenix,-112.113447,33.577907,http://api.duckduckgo.com/?q=Ottawa+University-Phoenix%20wikipedia&format=json,,
Prescott College,-112.476509,34.5445,http://api.duckduckgo.com/?q=Prescott+College%20wikipedia&format=json,,http://www.prescott.edu
Arizona Christian University,-112.026211,33.595117,http://api.duckduckgo.com/?q=Arizona+Christian+University%20wikipedia&format=json,https://duckduckgo.com/i/b48345cd.png,http://www.arizonachristian.edu
University of Arkansas at Little Rock,-92.341835,34.726644,http://api.duckduckgo.com/?q=University+of+Arkansas+at+Little+Rock%20wikipedia&format=json,https://duckduckgo.com/i/e581d59d.png,https://ualr.edu/
Arkansas Baptist College,-92.290555,34.734751,http://api.duckduckgo.com/?q=Arkansas+Baptist+College%20wikipedia&format=json,https://duckduckgo.com/i/91f73cb9.jpg,http://www.arkansasbaptist.edu
Lyon College,-91.628115,35.778934,http://api.duckduckgo.com/?q=Lyon+College%20wikipedia&format=json,,http://www.lyon.edu
University of Arkansas,-94.178214,36.06153,http://api.duckduckgo.com/?q=University+of+Arkansas%20wikipedia&format=json,https://duckduckgo.com/i/ea3e19b85b6c42ec.png,http://www.uark.edu
University of Arkansas at Pine Bluff,-92.021263,34.242192,http://api.duckduckgo.com/?q=University+of+Arkansas+at+Pine+Bluff%20wikipedia&format=json,https://duckduckgo.com/i/cd2d4af8567ce898.png,http://www.uapb.edu
Arkansas State University-Main Campus,-90.680478,35.842779,http://api.duckduckgo.com/?q=Arkansas+State+University-Main+Campus%20wikipedia&format=json,,
Arkansas Tech University,-93.13233,35.295227,http://api.duckduckgo.com/?q=Arkansas+Tech+University%20wikipedia&format=json,https://duckduckgo.com/i/4657f165e151d8c6.png,https://www.atu.edu/
University of Arkansas at Monticello,-91.812971,33.589788,http://api.duckduckgo.com/?q=University+of+Arkansas+at+Monticello%20wikipedia&format=json,https://duckduckgo.com/i/1a9663d5.jpg,http://www.uamont.edu
University of Central Arkansas,-92.45931,35.078196,http://api.duckduckgo.com/?q=University+of+Central+Arkansas%20wikipedia&format=json,https://duckduckgo.com/i/5e1aebcf17a9cfd7.png,http://www.uca.edu
Central Baptist College,-92.444102,35.084574,http://api.duckduckgo.com/?q=Central+Baptist+College%20wikipedia&format=json,https://duckduckgo.com/i/4d0f44ef585fbc44.png,http://www.cbc.edu
Harding University,-91.729008,35.249605,http://api.duckduckgo.com/?q=Harding+University%20wikipedia&format=json,https://duckduckgo.com/i/6af8cc0d.png,http://www.harding.edu
Henderson State University,-93.060313,34.127792,http://api.duckduckgo.com/?q=Henderson+State+University%20wikipedia&format=json,https://duckduckgo.com/i/aff2af1d06a57a8e.png,http://www.hsu.edu/
Hendrix College,-92.442021,35.09972,http://api.duckduckgo.com/?q=Hendrix+College%20wikipedia&format=json,https://duckduckgo.com/i/aa0ad321.png,http://www.hendrix.edu
John Brown University,-94.559088,36.191077,http://api.duckduckgo.com/?q=John+Brown+University%20wikipedia&format=json,https://duckduckgo.com/i/63edb5cb.png,http://www.jbu.edu
Ouachita Baptist University,-93.052442,34.125045,http://api.duckduckgo.com/?q=Ouachita+Baptist+University%20wikipedia&format=json,https://duckduckgo.com/i/4c3851f825cbaae7.png,http://www.obu.edu
University of the Ozarks,-93.467924,35.477785,http://api.duckduckgo.com/?q=University+of+the+Ozarks%20wikipedia&format=json,https://duckduckgo.com/i/0354defd.png,http://www.ozarks.edu
Philander Smith College,-92.28242,34.73666,http://api.duckduckgo.com/?q=Philander+Smith+College%20wikipedia&format=json,https://duckduckgo.com/i/4260bb62.jpg,http://www.philander.edu
Williams Baptist College,-90.939876,36.126825,http://api.duckduckgo.com/?q=Williams+Baptist+College%20wikipedia&format=json,,
Southern Arkansas University Main Campus,-93.235087,33.291195,http://api.duckduckgo.com/?q=Southern+Arkansas+University+Main+Campus%20wikipedia&format=json,,
University of Arkansas-Fort Smith,-94.374073,35.385345,http://api.duckduckgo.com/?q=University+of+Arkansas-Fort+Smith%20wikipedia&format=json,https://duckduckgo.com/i/e2b8a82b.png,
Azusa Pacific University,-117.88795,34.130865,http://api.duckduckgo.com/?q=Azusa+Pacific+University%20wikipedia&format=json,,
Biola University,-118.017342,33.904823,http://api.duckduckgo.com/?q=Biola+University%20wikipedia&format=json,,
California Institute of Integral Studies,-122.416537,37.774768,http://api.duckduckgo.com/?q=California+Institute+of+Integral+Studies%20wikipedia&format=json,,
